,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,partie,part
1,1,1,1,histoire,history
2,2,2,2,chercher,search
3,3,3,3,seulement,only
4,4,4,4,pensais,thought
5,5,5,5,demande,request
6,6,6,6,mois,month
7,7,7,7,frère,brother
8,8,8,8,aucun,no
9,9,9,9,laisse,leash
10,10,10,10,eux,them
11,11,11,11,ville,city
12,12,12,12,chaque,each
13,13,13,13,parlé,speak
14,14,14,14,arrivé,come
15,15,15,15,bébé,baby
16,16,16,16,longtemps,long time
17,17,17,17,heures,hours
18,18,18,18,vont,will
19,19,19,19,pendant,while
20,20,20,20,revoir,meet again
21,21,21,21,aucune,any
22,22,22,22,place,square
23,23,23,23,parle,speak
24,24,24,24,compris,understood
25,25,25,25,étaient,were
26,26,26,26,attention,Warning
27,27,27,27,voici,here is
28,28,28,28,pourrais,could
29,29,29,29,affaire,case
30,30,30,30,leurs,their
31,31,31,31,donné,given
32,33,33,34,endroit,place
33,34,34,35,yeux,eyes
34,35,35,36,façon,way
35,36,36,37,écoute,listen
36,37,37,38,dont,whose
37,38,38,39,premier,first
38,39,39,40,perdu,lost
39,40,41,43,côté,side
40,41,42,44,pouvoir,power
41,42,43,45,vieux,old
42,43,44,46,sois,be
43,44,45,47,matin,morning
44,45,46,48,tellement,so much
45,46,47,49,enfant,child
46,47,48,50,venu,came
47,48,49,51,suite,after
48,49,50,52,pardon,sorry
49,50,51,53,venez,come
50,51,52,54,devant,in front of
51,52,53,55,vers,towards
52,53,54,56,minutes,minutes
53,54,55,57,demandé,request
54,55,56,58,chambre,bedroom
55,56,57,59,mis,placed
56,57,58,60,belle,beautiful
57,58,59,61,aujourd'hui,today
58,59,60,62,mari,husband
59,60,61,63,cause,cause
60,61,62,64,enfin,finally
61,62,63,65,espère,hope
62,63,64,66,eau,water
63,64,66,68,boulot,job
64,65,67,69,arrêter,Stop
65,66,68,70,dirait,would say
66,67,69,71,terre,Earth
67,68,70,72,compte,account
68,69,71,73,donne,given
69,70,72,74,loin,far
70,71,73,75,gros,large
71,73,75,77,aura,will have
72,74,76,78,filles,girls
73,75,77,79,jouer,to play
